k l mode
48 48 0
48 47 1
48 46 2
48 45 3
48 44 4
48 43 5
48 42 6
48 41 7
48 40 8
48 39 9
48 38 10
48 37 11
48 36 12
48 35 13
48 34 14
48 33 15
48 32 16
48 31 17
48 30 18
48 29 19
48 28 20
48 27 21
48 26 22
48 25 23
48 24 24
48 23 25
48 22 26
48 21 27
48 20 28
48 19 29
48 18 30
48 17 31
48 16 32
48 15 33
48 14 34
48 13 35
48 12 36
48 11 37
48 10 38
48 9 39
48 8 40
48 7 41
48 6 42
48 5 43
48 4 44
48 3 45
48 2 46
48 1 47
47 48 48
47 47 49
47 46 50
47 45 51
47 44 52
47 43 53
47 42 54
47 41 55
47 40 56
47 39 57
47 38 58
47 37 59
47 36 60
47 35 61
47 34 62
47 33 63
47 32 64
47 31 65
47 30 66
47 29 67
47 28 68
47 27 69
47 26 70
47 25 71
47 24 72
47 23 73
47 22 74
47 21 75
47 20 76
47 19 77
47 18 78
47 17 79
47 16 80
47 15 81
47 14 82
47 13 83
47 12 84
47 11 85
47 10 86
47 9 87
47 8 88
47 7 89
47 6 90
47 5 91
47 4 92
47 3 93
47 2 94
47 1 95
46 48 96
46 47 97
46 46 98
46 45 99
46 44 100
46 43 101
46 42 102
46 41 103
46 40 104
46 39 105
46 38 106
46 37 107
46 36 108
46 35 109
46 34 110
46 33 111
46 32 112
46 31 113
46 30 114
46 29 115
46 28 116
46 27 117
46 26 118
46 25 119
46 24 120
46 23 121
46 22 122
46 21 123
46 20 124
46 19 125
46 18 126
46 17 127
46 16 128
46 15 129
46 14 130
46 13 131
46 12 132
46 11 133
46 10 134
46 9 135
46 8 136
46 7 137
46 6 138
46 5 139
46 4 140
46 3 141
46 2 142
46 1 143
45 48 144
45 47 145
45 46 146
45 45 147
45 44 148
45 43 149
45 42 150
45 41 151
45 40 152
45 39 153
45 38 154
45 37 155
45 36 156
45 35 157
45 34 158
45 33 159
45 32 160
45 31 161
45 30 162
45 29 163
45 28 164
45 27 165
45 26 166
45 25 167
45 24 168
45 23 169
45 22 170
45 21 171
45 20 172
45 19 173
45 18 174
45 17 175
45 16 176
45 15 177
45 14 178
45 13 179
45 12 180
45 11 181
45 10 182
45 9 183
45 8 184
45 7 185
45 6 186
45 5 187
45 4 188
45 3 189
45 2 190
45 1 191
44 48 192
44 47 193
44 46 194
44 45 195
44 44 196
44 43 197
44 42 198
44 41 199
44 40 200
44 39 201
44 38 202
44 37 203
44 36 204
44 35 205
44 34 206
44 33 207
44 32 208
44 31 209
44 30 210
44 29 211
44 28 212
44 27 213
44 26 214
44 25 215
44 24 216
44 23 217
44 22 218
44 21 219
44 20 220
44 19 221
44 18 222
44 17 223
44 16 224
44 15 225
44 14 226
44 13 227
44 12 228
44 11 229
44 10 230
44 9 231
44 8 232
44 7 233
44 6 234
44 5 235
44 4 236
44 3 237
44 2 238
44 1 239
43 48 240
43 47 241
43 46 242
43 45 243
43 44 244
43 43 245
43 42 246
43 41 247
43 40 248
43 39 249
43 38 250
43 37 251
43 36 252
43 35 253
43 34 254
43 33 255
43 32 256
43 31 257
43 30 258
43 29 259
43 28 260
43 27 261
43 26 262
43 25 263
43 24 264
43 23 265
43 22 266
43 21 267
43 20 268
43 19 269
43 18 270
43 17 271
43 16 272
43 15 273
43 14 274
43 13 275
43 12 276
43 11 277
43 10 278
43 9 279
43 8 280
43 7 281
43 6 282
43 5 283
43 4 284
43 3 285
43 2 286
43 1 287
42 48 288
42 47 289
42 46 290
42 45 291
42 44 292
42 43 293
42 42 294
42 41 295
42 40 296
42 39 297
42 38 298
42 37 299
42 36 300
42 35 301
42 34 302
42 33 303
42 32 304
42 31 305
42 30 306
42 29 307
42 28 308
42 27 309
42 26 310
42 25 311
42 24 312
42 23 313
42 22 314
42 21 315
42 20 316
42 19 317
42 18 318
42 17 319
42 16 320
42 15 321
42 14 322
42 13 323
42 12 324
42 11 325
42 10 326
42 9 327
42 8 328
42 7 329
42 6 330
42 5 331
42 4 332
42 3 333
42 2 334
42 1 335
41 48 336
41 47 337
41 46 338
41 45 339
41 44 340
41 43 341
41 42 342
41 41 343
41 40 344
41 39 345
41 38 346
41 37 347
41 36 348
41 35 349
41 34 350
41 33 351
41 32 352
41 31 353
41 30 354
41 29 355
41 28 356
41 27 357
41 26 358
41 25 359
41 24 360
41 23 361
41 22 362
41 21 363
41 20 364
41 19 365
41 18 366
41 17 367
41 16 368
41 15 369
41 14 370
41 13 371
41 12 372
41 11 373
41 10 374
41 9 375
41 8 376
41 7 377
41 6 378
41 5 379
41 4 380
41 3 381
41 2 382
41 1 383
40 48 384
40 47 385
40 46 386
40 45 387
40 44 388
40 43 389
40 42 390
40 41 391
40 40 392
40 39 393
40 38 394
40 37 395
40 36 396
40 35 397
40 34 398
40 33 399
40 32 400
40 31 401
40 30 402
40 29 403
40 28 404
40 27 405
40 26 406
40 25 407
40 24 408
40 23 409
40 22 410
40 21 411
40 20 412
40 19 413
40 18 414
40 17 415
40 16 416
40 15 417
40 14 418
40 13 419
40 12 420
40 11 421
40 10 422
40 9 423
40 8 424
40 7 425
40 6 426
40 5 427
40 4 428
40 3 429
40 2 430
40 1 431
39 48 432
39 47 433
39 46 434
39 45 435
39 44 436
39 43 437
39 42 438
39 41 439
39 40 440
39 39 441
39 38 442
39 37 443
39 36 444
39 35 445
39 34 446
39 33 447
39 32 448
39 31 449
39 30 450
39 29 451
39 28 452
39 27 453
39 26 454
39 25 455
39 24 456
39 23 457
39 22 458
39 21 459
39 20 460
39 19 461
39 18 462
39 17 463
39 16 464
39 15 465
39 14 466
39 13 467
39 12 468
39 11 469
39 10 470
39 9 471
39 8 472
39 7 473
39 6 474
39 5 475
39 4 476
39 3 477
39 2 478
39 1 479
38 48 480
38 47 481
38 46 482
38 45 483
38 44 484
38 43 485
38 42 486
38 41 487
38 40 488
38 39 489
38 38 490
38 37 491
38 36 492
38 35 493
38 34 494
38 33 495
38 32 496
38 31 497
38 30 498
38 29 499
38 28 500
38 27 501
38 26 502
38 25 503
38 24 504
38 23 505
38 22 506
38 21 507
38 20 508
38 19 509
38 18 510
38 17 511
38 16 512
38 15 513
38 14 514
38 13 515
38 12 516
38 11 517
38 10 518
38 9 519
38 8 520
38 7 521
38 6 522
38 5 523
38 4 524
38 3 525
38 2 526
38 1 527
37 48 528
37 47 529
37 46 530
37 45 531
37 44 532
37 43 533
37 42 534
37 41 535
37 40 536
37 39 537
37 38 538
37 37 539
37 36 540
37 35 541
37 34 542
37 33 543
37 32 544
37 31 545
37 30 546
37 29 547
37 28 548
37 27 549
37 26 550
37 25 551
37 24 552
37 23 553
37 22 554
37 21 555
37 20 556
37 19 557
37 18 558
37 17 559
37 16 560
37 15 561
37 14 562
37 13 563
37 12 564
37 11 565
37 10 566
37 9 567
37 8 568
37 7 569
37 6 570
37 5 571
37 4 572
37 3 573
37 2 574
37 1 575
36 48 576
36 47 577
36 46 578
36 45 579
36 44 580
36 43 581
36 42 582
36 41 583
36 40 584
36 39 585
36 38 586
36 37 587
36 36 588
36 35 589
36 34 590
36 33 591
36 32 592
36 31 593
36 30 594
36 29 595
36 28 596
36 27 597
36 26 598
36 25 599
36 24 600
36 23 601
36 22 602
36 21 603
36 20 604
36 19 605
36 18 606
36 17 607
36 16 608
36 15 609
36 14 610
36 13 611
36 12 612
36 11 613
36 10 614
36 9 615
36 8 616
36 7 617
36 6 618
36 5 619
36 4 620
36 3 621
36 2 622
36 1 623
35 48 624
35 47 625
35 46 626
35 45 627
35 44 628
35 43 629
35 42 630
35 41 631
35 40 632
35 39 633
35 38 634
35 37 635
35 36 636
35 35 637
35 34 638
35 33 639
35 32 640
35 31 641
35 30 642
35 29 643
35 28 644
35 27 645
35 26 646
35 25 647
35 24 648
35 23 649
35 22 650
35 21 651
35 20 652
35 19 653
35 18 654
35 17 655
35 16 656
35 15 657
35 14 658
35 13 659
35 12 660
35 11 661
35 10 662
35 9 663
35 8 664
35 7 665
35 6 666
35 5 667
35 4 668
35 3 669
35 2 670
35 1 671
34 48 672
34 47 673
34 46 674
34 45 675
34 44 676
34 43 677
34 42 678
34 41 679
34 40 680
34 39 681
34 38 682
34 37 683
34 36 684
34 35 685
34 34 686
34 33 687
34 32 688
34 31 689
34 30 690
34 29 691
34 28 692
34 27 693
34 26 694
34 25 695
34 24 696
34 23 697
34 22 698
34 21 699
34 20 700
34 19 701
34 18 702
34 17 703
34 16 704
34 15 705
34 14 706
34 13 707
34 12 708
34 11 709
34 10 710
34 9 711
34 8 712
34 7 713
34 6 714
34 5 715
34 4 716
34 3 717
34 2 718
34 1 719
33 48 720
33 47 721
33 46 722
33 45 723
33 44 724
33 43 725
33 42 726
33 41 727
33 40 728
33 39 729
33 38 730
33 37 731
33 36 732
33 35 733
33 34 734
33 33 735
33 32 736
33 31 737
33 30 738
33 29 739
33 28 740
33 27 741
33 26 742
33 25 743
33 24 744
33 23 745
33 22 746
33 21 747
33 20 748
33 19 749
33 18 750
33 17 751
33 16 752
33 15 753
33 14 754
33 13 755
33 12 756
33 11 757
33 10 758
33 9 759
33 8 760
33 7 761
33 6 762
33 5 763
33 4 764
33 3 765
33 2 766
33 1 767
32 48 768
32 47 769
32 46 770
32 45 771
32 44 772
32 43 773
32 42 774
32 41 775
32 40 776
32 39 777
32 38 778
32 37 779
32 36 780
32 35 781
32 34 782
32 33 783
32 32 784
32 31 785
32 30 786
32 29 787
32 28 788
32 27 789
32 26 790
32 25 791
32 24 792
32 23 793
32 22 794
32 21 795
32 20 796
32 19 797
32 18 798
32 17 799
32 16 800
32 15 801
32 14 802
32 13 803
32 12 804
32 11 805
32 10 806
32 9 807
32 8 808
32 7 809
32 6 810
32 5 811
32 4 812
32 3 813
32 2 814
32 1 815
31 48 816
31 47 817
